Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,42.540000915527344,43.07500076293945,42.314998626708984,43.064998626708984,40.56892776489258,102223600
2018-01-03,43.13249969482422,43.63750076293945,42.9900016784668,43.057498931884766,40.56186294555664,118071600
2018-01-04,43.1349983215332,43.36750030517578,43.02000045776367,43.25749969482422,40.750274658203125,89738400
2018-01-05,43.36000061035156,43.842498779296875,43.26250076293945,43.75,41.214229583740234,94640000
2018-01-08,43.587501525878906,43.90250015258789,43.48249816894531,43.587501525878906,41.0611457824707,82271200
2018-01-09,43.63750076293945,43.76499938964844,43.352500915527344,43.58250045776367,41.056434631347656,86336000
2018-01-10,43.290000915527344,43.57500076293945,43.25,43.5724983215332,41.047019958496094,95839600
2018-01-11,43.647499084472656,43.872501373291016,43.622501373291016,43.81999969482422,41.28017044067383,74670800
2018-01-12,44.04499816894531,44.34000015258789,43.912498474121094,44.272499084472656,41.70643615722656,101672400
2018-01-16,44.474998474121094,44.84749984741211,44.03499984741211,44.04750061035156,41.494483947753906,118263600
2018-01-17,44.037498474121094,44.8125,43.76750183105469,44.775001525878906,42.17982482910156,137547200
2018-01-18,44.842498779296875,45.025001525878906,44.5625,44.814998626708984,42.217506408691406,124773600
2018-01-19,44.65250015258789,44.89500045776367,44.352500915527344,44.6150016784668,42.029090881347656,129700400
2018-01-22,44.32500076293945,44.44499969482422,44.150001525878906,44.25,41.68524932861328,108434400
2018-01-23,44.32500076293945,44.86000061035156,44.20500183105469,44.2599983215332,41.694671630859375,130756400
2018-01-24,44.3125,44.32500076293945,43.29999923706055,43.55500030517578,41.030521392822266,204420400
2018-01-25,43.627498626708984,43.73749923706055,42.63249969482422,42.77750015258789,40.298091888427734,166116000
2018-01-26,43.0,43.0,42.51499938964844,42.877498626708984,40.39228820800781,156572000
2018-01-29,42.540000915527344,42.540000915527344,41.76750183105469,41.9900016784668,39.55624008178711,202561600
2018-01-30,41.38249969482422,41.842498779296875,41.17499923706055,41.74250030517578,39.32307815551758,184192800
2018-01-31,41.717498779296875,42.11000061035156,41.625,41.85749816894531,39.43141555786133,129915600
2018-02-01,41.79249954223633,42.154998779296875,41.689998626708984,41.94499969482422,39.51385498046875,188923200
